Name,Library,Family,Class,Time
M4_10x10_C1-CC11,AMaze,AMaze,C,0.1021552754
M4_10x10_C1-CC15,AMaze,AMaze,C,0.1047424931
M4_10x10_C1-CC21,AMaze,AMaze,C,0.0945498524
M4_10x10_C1-CC37,AMaze,AMaze,C,0.1018339486
M4_10x10_C1-CD11,AMaze,AMaze,H,0.0197569365
M4_10x10_C1-CD15,AMaze,AMaze,H,0.02059647
M4_10x10_C1-CD21,AMaze,AMaze,H,0.0205994263
M4_10x10_C1-CD37,AMaze,AMaze,H,0.0239675295
M4_10x10_C1-DD,AMaze,AMaze,D,0.0095234897
M4_10x10_C1_l0.1_L.25-CC11,AMaze,AMaze,C,0.096219747
M4_10x10_C1_l0.1_L.25-CC15,AMaze,AMaze,C,0.0971226305
M4_10x10_C1_l0.1_L.25-CC21,AMaze,AMaze,C,0.1113510216
M4_10x10_C1_l0.1_L.25-CC37,AMaze,AMaze,C,0.1016627171
M4_10x10_C1_l0.1_L.25-CD11,AMaze,AMaze,H,0.0220805843
M4_10x10_C1_l0.1_L.25-CD15,AMaze,AMaze,H,0.022501681
M4_10x10_C1_l0.1_L.25-CD21,AMaze,AMaze,H,0.0233549856
M4_10x10_C1_l0.1_L.25-CD37,AMaze,AMaze,H,0.028801626
M4_10x10_C1_l0.1_L.25-DD,AMaze,AMaze,D,0.0093612396
M4_10x10_C1_l0.1_L.25_t0.1_T.5-DD,AMaze,AMaze,D,0.0092449472
M4_10x10_C1_l0.1_L.25_t0.5_T.5-DD,AMaze,AMaze,D,0.009234742
M4_10x10_C1_l0.1_L.25_t1_T.5-DD,AMaze,AMaze,D,0.0092455116
M4_10x10_C1_l0.5_L.25-CC11,AMaze,AMaze,C,0.1119571037
M4_10x10_C1_l0.5_L.25-CC15,AMaze,AMaze,C,0.1057090753
M4_10x10_C1_l0.5_L.25-CC21,AMaze,AMaze,C,0.1059282252
M4_10x10_C1_l0.5_L.25-CC37,AMaze,AMaze,C,0.1025093769
M4_10x10_C1_l0.5_L.25-CD11,AMaze,AMaze,H,0.022632187
M4_10x10_C1_l0.5_L.25-CD15,AMaze,AMaze,H,0.0221635889
M4_10x10_C1_l0.5_L.25-CD21,AMaze,AMaze,H,0.0235049303
M4_10x10_C1_l0.5_L.25-CD37,AMaze,AMaze,H,0.0291321761
M4_10x10_C1_l0.5_L.25-DD,AMaze,AMaze,D,0.0091612166
M4_10x10_C1_l0.5_L.25_t0.1_T.5-DD,AMaze,AMaze,D,0.0090521172
M4_10x10_C1_l0.5_L.25_t0.5_T.5-DD,AMaze,AMaze,D,0.0090015872
M4_10x10_C1_l0.5_L.25_t1_T.5-DD,AMaze,AMaze,D,0.009131607
M4_10x10_C1_l1_L.25-CC11,AMaze,AMaze,C,0.0900673679
M4_10x10_C1_l1_L.25-CC15,AMaze,AMaze,C,0.0983691442
M4_10x10_C1_l1_L.25-CC21,AMaze,AMaze,C,0.1077866837
M4_10x10_C1_l1_L.25-CC37,AMaze,AMaze,C,0.1122657217
M4_10x10_C1_l1_L.25-CD11,AMaze,AMaze,H,0.0218825406
M4_10x10_C1_l1_L.25-CD15,AMaze,AMaze,H,0.0215529427
M4_10x10_C1_l1_L.25-CD21,AMaze,AMaze,H,0.0228192265
M4_10x10_C1_l1_L.25-CD37,AMaze,AMaze,H,0.0288275299
M4_10x10_C1_l1_L.25-DD,AMaze,AMaze,D,0.0089530143
M4_10x10_C1_l1_L.25_t0.1_T.5-DD,AMaze,AMaze,D,0.0088127767
M4_10x10_C1_l1_L.25_t0.5_T.5-DD,AMaze,AMaze,D,0.0089096448
M4_10x10_C1_l1_L.25_t1_T.5-DD,AMaze,AMaze,D,0.0088532724
M4_10x10_C1_t0.1_T.5-DD,AMaze,AMaze,D,0.0091914064
M4_10x10_C1_t0.5_T.5-DD,AMaze,AMaze,D,0.0094306397
M4_10x10_C1_t1_T.5-DD,AMaze,AMaze,D,0.0092889008
M4_20x20_C1-CC11,AMaze,AMaze,C,0.0953633544
M4_20x20_C1-CC15,AMaze,AMaze,C,0.0974152241
M4_20x20_C1-CC21,AMaze,AMaze,C,0.1042449387
M4_20x20_C1-CC37,AMaze,AMaze,C,0.1068910285
M4_20x20_C1-CD11,AMaze,AMaze,H,0.0212627231
M4_20x20_C1-CD15,AMaze,AMaze,H,0.0205669838
M4_20x20_C1-CD21,AMaze,AMaze,H,0.0204274161
M4_20x20_C1-CD37,AMaze,AMaze,H,0.0220452461
M4_20x20_C1-DD,AMaze,AMaze,D,0.0105113066
M4_20x20_C1_l0.1_L.25-CC11,AMaze,AMaze,C,0.0978344734
M4_20x20_C1_l0.1_L.25-CC15,AMaze,AMaze,C,0.1025390164
M4_20x20_C1_l0.1_L.25-CC21,AMaze,AMaze,C,0.0905463737
M4_20x20_C1_l0.1_L.25-CC37,AMaze,AMaze,C,0.1054186869
M4_20x20_C1_l0.1_L.25-CD11,AMaze,AMaze,H,0.0214339518
